order_id,customer_id,order_date,category,region,revenue,quantity
1001,C0103,2024-01-01 00:00:00,Sports,East,215,1
1002,C0436,2024-01-01 01:00:00,Home,South,749,3
1003,C0349,2024-01-01 02:00:00,Fashion,South,391,4
1004,C0271,2024-01-01 03:00:00,Sports,South,531,3
1005,C0107,2024-01-01 04:00:00,Fashion,North,68,4
1006,C0072,2024-01-01 05:00:00,Home,East,677,3
1007,C0189,2024-01-01 06:00:00,Home,South,233,2
1008,C0021,2024-01-01 07:00:00,Fashion,South,831,1
1009,C0103,2024-01-01 08:00:00,Electronics,West,594,3
1010,C0122,2024-01-01 09:00:00,Home,East,59,1
1011,C0467,2024-01-01 10:00:00,Electronics,South,641,4
1012,C0215,2024-01-01 11:00:00,Home,West,241,2
1013,C0331,2024-01-01 12:00:00,Electronics,West,369,1
1014,C0459,2024-01-01 13:00:00,Electronics,North,751,3
1015,C0088,2024-01-01 14:00:00,Electronics,West,629,1
1016,C0373,2024-01-01 15:00:00,Fashion,South,524,1
1017,C0100,2024-01-01 16:00:00,Electronics,North,909,4
1018,C0360,2024-01-01 17:00:00,Electronics,North,686,2
1019,C0152,2024-01-01 18:00:00,Electronics,South,476,2
1020,C0131,2024-01-01 19:00:00,Home,East,897,1
1021,C0150,2024-01-01 20:00:00,Electronics,West,108,1
1022,C0309,2024-01-01 21:00:00,Home,North,485,4
1023,C0258,2024-01-01 22:00:00,Electronics,East,146,1
1024,C0344,2024-01-01 23:00:00,Electronics,South,545,4
1025,C0492,2024-01-02 00:00:00,Fashion,West,836,2
1026,C0414,2024-01-02 01:00:00,Home,West,710,2
1027,C0294,2024-01-02 02:00:00,Electronics,North,327,4
1028,C0386,2024-01-02 03:00:00,Home,West,314,1
1029,C0192,2024-01-02 04:00:00,Home,West,58,2
1030,C0444,2024-01-02 05:00:00,Sports,West,506,3
1031,C0277,2024-01-02 06:00:00,Fashion,West,844,4
1032,C0161,2024-01-02 07:00:00,Fashion,South,322,2
1033,C0460,2024-01-02 08:00:00,Fashion,East,989,2
1034,C0314,2024-01-02 09:00:00,Sports,South,862,2
1035,C0022,2024-01-02 10:00:00,Sports,South,57,3
1036,C0253,2024-01-02 11:00:00,Fashion,North,257,3
1037,C0236,2024-01-02 12:00:00,Sports,West,963,3
1038,C0345,2024-01-02 13:00:00,Sports,South,686,1
